Active cases, Time (s) 
1,0
2,382643
3,530460
4,569757
4,852000
5,884560
5,1011626
6,1035120
7,1100099
8,1134739
8,1152745
8,1303953
9,1314372
10,1320526
11,1324291
11,1334073
12,1369584
13,1385216
14,1394727
15,1445371
15,1485291
15,1509660
16,1518318
17,1543078
18,1549316
19,1549763
20,1553592
21,1600845
21,1628233
22,1631605
23,1635742
23,1640512
24,1693472
24,1723218
25,1723564
26,1724277
26,1748923
26,1765005
27,1773390
28,1799890
29,1805195
30,1825694
31,1852258
32,1855621
33,1860872
33,1883536
34,1883558
35,1886730
36,1898156
37,1898991
38,1899540
37,1924034
36,1930547
37,1933294
38,1939419
39,1958049
40,1958581
41,1968250
42,1972551
42,1977655
42,1997935
42,2014968
43,2023591
44,2033001
45,2038867
46,2041081
47,2043442
48,2044142
48,2051479
49,2053602
50,2054826
51,2057637
52,2059367
53,2066923
54,2079435
55,2086387
55,2097434
56,2108235
56,2118570
56,2131840
57,2138132
57,2152588
57,2154183
57,2155595
58,2156370
58,2178195
58,2180093
59,2184293
60,2193122
61,2194451
62,2198044
62,2207849
63,2208729
64,2217404
65,2218499
66,2222711
66,2223582
67,2230007
67,2236039
65,2246301
66,2253993
67,2263817
68,2265515
69,2265521
70,2266141
70,2266895
70,2268490
71,2269591
72,2283627
73,2286223
74,2288756
75,2290174
76,2293421
77,2293505
76,2298406
77,2301855
78,2302546
78,2302760
79,2304549
80,2305339
81,2307957
82,2310368
83,2317744
84,2320904
85,2321235
86,2323127
87,2323256
88,2325776
89,2327781
87,2333499
88,2339684
89,2346364
90,2347096
91,2351240
92,2353258
92,2355485
93,2356011
94,2356349
95,2363617
96,2364624
97,2365062
97,2372392
97,2378432
98,2384970
99,2388408
100,2390096
101,2397516
102,2401153
103,2403598
103,2405560
104,2406805
105,2409086
105,2411791
106,2415003
107,2416404
108,2417240
109,2422872
110,2424976
110,2432676
111,2436560
112,2440445
113,2447832
114,2451933
114,2457763
115,2459890
113,2473664
114,2477052
115,2477330
116,2479566
117,2482802
118,2483782
118,2485841
119,2487081
120,2487717
121,2487857
121,2489594
121,2492767
122,2496048
123,2498130
124,2501743
122,2510798
123,2512346
124,2516246
125,2521563
125,2524897
126,2526045
127,2528215
127,2533804
126,2535495
127,2536525
128,2536588
129,2537111
129,2538214
130,2538755
131,2543863
130,2544716
131,2544872
132,2545992
133,2547257
134,2549042
135,2554653
136,2554683
136,2563264
136,2565981
137,2567152
136,2580536
137,2581319
137,2583454
138,2588131
139,2589084
140,2591394
141,2591949
142,2592932
143,2593343
144,2593661
145,2595185
146,2595710
147,2596103
148,2597082
149,2599668
149,2603675
150,2604303
151,2606658
152,2608535
153,2610531
154,2615955
154,2620259
155,2621066
156,2627550
157,2627798
158,2628077
158,2633560
159,2637635
159,2638436
160,2638733
161,2638919
161,2639933
162,2640262
162,2645206
163,2645479
163,2646187
163,2648745
164,2648763
165,2648843
165,2650403
166,2652807
164,2661230
163,2664216
164,2665221
165,2665694
166,2666990
167,2668674
168,2670042
168,2673739
169,2673898
170,2675528
171,2675969
172,2676795
173,2677906
174,2678667
175,2679778
176,2682502
177,2684036
176,2685205
177,2686597
178,2686636
179,2688557
180,2690852
180,2699229
181,2700748
181,2702441
181,2704804
181,2705697
181,2707170
182,2707383
183,2708483
184,2711253
185,2711419
185,2714065
186,2716388
186,2719794
187,2720011
188,2720918
189,2723246
189,2730423
190,2732161
190,2737397
191,2737452
192,2738412
192,2738466
