Active cases, Time (s) 
1,0
2,424920
3,430260
4,433753
4,673553
5,693234
6,780555
7,801187
7,850550
8,883367
9,895420
10,979066
11,1004549
9,1061312
10,1112547
11,1136696
12,1151753
13,1245917
14,1251234
15,1260211
16,1276051
15,1331019
16,1333742
17,1344572
18,1348291
18,1389350
18,1434584
19,1445286
19,1457627
20,1466968
20,1495130
20,1523865
21,1534249
22,1552019
23,1553038
24,1558991
25,1572674
25,1604333
25,1613226
26,1615657
27,1617619
28,1618328
29,1627903
30,1640162
31,1642086
32,1645364
32,1681251
33,1686012
34,1690987
35,1697740
36,1715010
37,1716237
37,1719564
38,1724312
39,1728482
39,1745045
39,1784362
40,1787781
41,1830943
42,1832239
43,1833182
44,1846173
45,1847077
43,1869045
44,1869925
44,1871893
45,1875269
45,1888806
46,1894515
47,1911119
48,1919050
48,1919746
49,1934462
50,1934556
49,1943355
50,1947432
51,1947664
52,1949276
51,1956222
52,1960210
53,1971092
54,1971319
55,1984323
56,1985788
57,1987053
57,1987670
58,1987680
58,1999478
59,2001035
60,2002291
61,2007188
62,2007436
63,2007836
64,2010777
65,2013403
66,2018736
67,2027268
68,2028419
69,2030546
70,2032780
71,2033028
70,2050299
71,2054340
72,2061734
73,2071007
73,2079497
73,2080708
74,2081124
75,2087449
76,2088307
77,2094536
78,2097015
78,2103638
79,2106374
80,2108922
81,2111262
82,2121788
83,2122161
83,2133535
84,2134415
84,2139654
85,2149968
86,2151504
87,2156773
86,2158107
86,2161160
87,2163491
87,2165129
88,2172027
89,2172393
90,2176864
90,2181834
91,2183612
92,2186740
93,2199434
93,2199540
94,2201382
95,2204439
94,2212124
95,2213687
94,2221350
93,2232525
93,2234960
94,2235215
95,2238127
92,2254453
93,2257861
94,2263264
95,2268794
96,2270970
97,2272186
98,2276082
99,2280816
100,2282106
101,2283319
102,2285578
102,2287606
103,2287937
104,2288863
104,2292329
104,2301381
105,2301474
106,2301687
106,2303452
107,2306148
108,2312423
109,2315358
110,2318361
111,2318745
111,2320577
111,2322404
112,2322886
110,2330236
111,2331737
111,2337819
112,2347233
113,2349711
113,2352444
114,2356169
115,2356847
116,2357940
117,2358325
118,2358512
119,2358622
120,2360987
121,2361585
122,2362131
123,2363829
124,2365267
125,2369787
126,2370124
127,2372355
128,2372635
129,2374077
130,2385016
130,2385237
131,2387314
131,2389410
131,2394048
132,2395221
133,2397022
134,2397355
135,2399396
136,2401890
137,2402956
137,2403249
137,2403619
138,2404789
139,2404889
140,2404930
141,2406272
